address,latitude,longitude
"95, Boulevard Berthier 75017 Paris France",48.8857,2.29436
"132, Rue Moslard 92700 Colombes France",48.9109,2.23969
"4, Rue de Copenhague 67300 Schiltigheim France",48.6104,7.71703
"6, Rue Paul Sabatier 31270 Cugnaux France",43.5555,1.36832
"266, Chemin de la Bayette 83220 Le Pradet France",43.1083,6.03844
"10, Rue du Lieutenant Parayre 13290 Aix-en-Provence France",43.4947,5.36872
"54, Avenue de Versailles 75016 Paris France",48.8482,2.27419
"71, Rue Enguerrand 80090 Amiens France",49.8835,2.31854
"5, Cours Gambetta 65000 Tarbes France",43.2317,0.073746
"12, Rue Portalis 75008 Paris France",48.8776,2.31991
"13, Rue de la Petite Ferme 77360 Vaires-sur-Marne France",48.8713,2.64506
"189, Chemin de Faissole 06250 Mougins France",43.5833,6.9986
"173, Avenue de Versailles 75016 Paris France",48.8404,2.26485
"16, Rue Bartholdi 52000 Chaumont France",48.1126,5.13293
"2, Avenue de la Violette 13100 Aix-en-Provence France",43.5347,5.44603
"22, Rue Paul Baudot  Basse-Terre Guadeloupe",15.998,-61.7318
"109, Quai des États-Unis 06300 Nice France",43.6954,7.26937
"65, Rue Baron le Roy 75012 Paris France",48.8351,2.38885
"2, Rue d'Anjou 76240 Le Mesnil-Esnard France",49.4119,1.1529
"340, Cours Gambetta 84300 Cavaillon France",43.8392,5.03793
"1010, Avenue Marcel Pagnol 84110 Vaison-la-Romaine France",44.2466,5.09212
"44, Avenue Charles de Gaulle 84130 Le Pontet France",43.9568,4.84797
"35, Rue des Tulipes 68170 Rixheim France",47.7504,7.38921
"180, Rue du Genevois 73000 Chambéry France",45.5888,5.92349
"47, Rue du Val Vert 74600 Seynod France",45.8906,6.11024
"11, Avenue Pierre Cambres 66100 Perpignan France",42.6911,2.90029
"360, Allée Henri Hugoniot 25600 Brognard France",47.522,6.86655
"111, Rue Victor Hugo 92270 Bois-Colombes France",48.9187,2.26892
"9, Rue des Aulnes 69410 Champagne-au-Mont-d'Or France",45.8041,4.77797
"208, Route des Tattes de Borly 74380 Cranves-Sales France",46.1812,6.2836
"2, Rue Jacques Prévert 69140 Rillieux-la-Pape France",45.8158,4.90084
"142, Rue de Rivoli 75001 Paris France",48.8604,2.34288
"151, Rue Amelot 75011 Paris France",48.8655,2.36619
"1, Rue Pierre Rectoran 64100 Bayonne France",43.4854,-1.47656
"345, Avenue du Prado 13008 Marseille France",43.2698,5.38897
"12 Ter, Rue Louise Michel 92300 Levallois-Perret France",48.8877,2.28576
"10, Allée des Artilleurs 42000 Saint-Étienne France",45.4637,4.37816
"16, Rue du Colisée 75008 Paris France",48.8707,2.30865
"7, Rue Albert Ferrasse 47550 Boé France",44.1808,0.628297
"39, Rue d'Aguesseau 94490 Ormesson-sur-Marne France",48.7857,2.53466
"31, Rue des Marottes 78570 Andrésy France",48.9691,2.04261
"53, Boulevard de la Reine 78000 Versailles France",48.8095,2.12933
"67, Rue Gaultier 92400 Courbevoie France",48.8995,2.24475
"9, Avenue Camille Claudel 95240 Cormeilles-en-Parisis France",48.9597,2.19441
"21b, Boulevard Gabriel Guist'Hau 44000 Nantes France",47.2166,-1.56682
"110, Boulevard du Front de Mer 97460 Saint-Paul Réunion",-20.9984,55.2793
"124, Rue du Fort du Rietz 62310 Fruges France",50.5177,2.11425
"8, Rue du Château de Chessy 77144 Montévrain France",48.874,2.75257
"8, Rue Meriel 93100 Montreuil France",48.8602,2.43794
"22, Rue des Vergers 77310 Saint-Fargeau-Ponthierry France",48.5308,2.55493
"1803, Chemin de Matras 82000 Montauban France",44.0376,1.37628
"607, Rue Félix Trombe 66100 Perpignan France",42.6664,2.90692
"90, Rue Raynouard 75016 Paris France",48.8535,2.27653
"248, Avenue des Paluds 13400 Aubagne France",43.2867,5.60403
"4, Rue Alphonse Karr 06000 Nice France",43.6989,7.2671
"34, Route de Pitoys 64600 Anglet France",43.464,-1.51568
"98, Quai de la Fosse 44000 Nantes France",47.2079,-1.57108
"31, Impasse Pao 83110 Sanary-sur-Mer France",43.1263,5.8155
"863, Chemin de la Traverse 30900 Nîmes France",43.8173,4.33508
"35, Boulevard Richard Wallace 92800 Puteaux France",48.8801,2.23908
"7, Boulevard Sampiero 20000 Ajaccio France",41.9241,8.73885
"163, Rue du Faubourg Saint-Honoré 75008 Paris France",48.8746,2.30604
"18, Rue Pastorelli 06000 Nice France",43.7017,7.27289
"12, Rue de Castiglione 75001 Paris France",48.866,2.32827
"109, Avenue Charles de Gaulle 92200 Neuilly-sur-Seine France",48.881,2.27038
"17, Rue Wolfgang Amadeus Mozart 77185 Lognes France",48.8353,2.64204
"12, Avenue de la République 93300 Aubervilliers France",48.9129,2.3828
"100, Rue Alfred Sauvy 34470 Lattes France",43.5826,3.934
"49, Boulevard Jeanne d'Arc 59500 Douai France",50.3652,3.06839
"4, Rue Thiers 02100 Saint-Quentin France",49.8538,3.28124
"32, Rue Jeanne d'Arc 51100 Reims France",49.255,4.02513
"109, Chemin Creve Coeur (Rd 5)   Réunion",-21.0168,55.2877
"264, Rue Garibaldi 69003 Lyon France",45.7539,4.85302
"14, Rue des Métiers 40230 Saint-Vincent-de-Tyrosse France",43.6641,-1.28225
"4, Rue Gaston Castel 13016 Marseille France",43.3574,5.33694
"8, Rue de Montlean 51210 Montmirail France",48.8697,3.54273
"29, Rue de Belfort 67100 Strasbourg France",48.5696,7.74749
"18, Avenue Émile Didier 05000 Gap France",44.5648,6.09134
"4, Boulevard du Mail 89100 Sens France",48.1991,3.28498
"15, Avenue Labienus 70300 Luxeuil-les-Bains France",47.8179,6.37451
"231, Rue de la Benauge 33100 Bordeaux France",44.8414,-0.546575
"1, Rue Pasteur 95150 Taverny France",49.0258,2.22095
"117, Rue nationale 59700 Marcq-en-Barœul France",50.6632,3.07626
"12, Rue du Compagnonnage 30133 Les Angles France",43.9605,4.75744
"34, Rue du 35ÈME Régiment d'Aviation 69500 Bron France",45.7354,4.93172
"116, Chemin Sainte-Christine 83210 Solliès-Pont France",43.1989,6.04384
"24, Rue des Bessards 26600 Tain-l'Hermitage France",45.0717,4.83579
"14, Rue du Moulin Paillasson 42300 Roanne France",46.0351,4.06261
"9, Impasse Lise de Harme 95350 Saint-Brice-sous-Forêt France",48.9907,2.35887
"12, Rue de Milan 75009 Paris France",48.879,2.3283
"15, Avenue Jean Moulin 39000 Lons-le-Saunier France",46.6729,5.55667
"2, Rue de l'Union 93130 Noisy-le-Sec France",48.895,2.45948
"34, Route de Haguenau Marienthal 67500 Haguenau France",48.7802,7.81629
"12, Rue de Clocheville 37000 Tours France",47.3923,0.68688
"424, Rue de Lisbonne 83500 La Seyne-sur-Mer France",43.1084,5.85387
"26, Place du Campanil 38630 Corbelin France",45.6077,5.54475
"7, Rue du Marché Saint-Honoré 75001 Paris France",48.8661,2.33107
"3, Avenue de l'Opéra 75001 Paris France",48.8641,2.33489
"3, Rue du 8 Mai 1945 42160 Andrézieux-Bouthéon France",45.5282,4.25572
"21, Quai Antoine Riboud 69002 Lyon France",45.742,4.81911
"17a, Rue de la Presse 42000 Saint-Étienne France",45.4573,4.39779
"69, Rue Saint-Simon 42000 Saint-Étienne France",45.4538,4.36831
"91, Rue Simon Vollant 59130 Lambersart France",50.664,3.02634
"7, Boulevard de Touraine 49300 Cholet France",47.0715,-0.856003
"3, Rue Paul Pouchain 59280 Armentières France",50.6828,2.87908
"161, Avenue Gabriel Péri 91700 Sainte-Geneviève-des-Bois France",48.6476,2.32647
"8, Rue Thalès 33700 Mérignac France",44.8333,-0.67144
"9, Rue Boirot 63000 Clermont-Ferrand France",45.7798,3.08523
"32, Rue de l'Estérel 31400 Toulouse France",43.5449,1.45886
"1, Allée Andromède 64600 Anglet France",43.4972,-1.50751
"9, Rue Ernest Hiolle 59300 Valenciennes France",50.358,3.53585
"70, Rue Jean Bleuzen 92170 Vanves France",48.8227,2.29606
"3, Rue Valentin Chabrand 05000 Gap France",44.5558,6.07369
"204, Avenue de Colmar 67100 Strasbourg France",48.5572,7.74728
"17, Avenue de l'Europe 67300 Schiltigheim France",48.6134,7.71711
"5, Rue Saint-Jacques 67150 Erstein France",48.4193,7.6586
"15, Route de Colmar 68920 Wintzenheim France",48.0688,7.30348
"4, Avenue de la Division Leclerc 91290 Arpajon France",48.5964,2.24588
"35, Rue du Sentier 75002 Paris France",48.8699,2.34602
"133, Avenue André Malraux 54600 Villers-lès-Nancy France",48.6716,6.15314
"9, Rue Robert Schuman 34430 Saint-Jean-de-Védas France",43.5683,3.83677
"16, Boulevard Winston Churchill 21000 Dijon France",47.3527,5.05376
"1, Allée du Luberon 31850 Montrabé France",43.6446,1.54569
"10, Rue Andre Chenier 91300 Massy France",48.7371,2.27621
"38, Rue de la Dutee 44800 Saint-Herblain France",47.2254,-1.64557
"6, Rue Saint-John Perse 21000 Dijon France",47.3527,5.05143
"30, Boulevard de la Fédération 13004 Marseille France",43.3116,5.40265
"11, Impasse Alexis Trinquet 91000 Évry France",48.6215,2.44764
"3, Rue Antonio Vivaldi 78100 Saint-Germain-en-Laye France",48.8937,2.06822
"23, Rue Maréchal Foch 11400 Castelnaudary France",43.3176,1.95375
"97122, Boulevard du Marquisat de Houelbourg  Baie Mahault Guadeloupe",16.2425,-61.5581
"122, Rue de Tourcoing 59100 Roubaix France",50.7045,3.17175
"5, Rue du Portalet 31240 L'Union France",43.6537,1.4812
"30, Rue Chabrely 33100 Bordeaux France",44.8414,-0.555069
"42, Chemin d'Ornon 33610 Canéjan France",44.771,-0.644859
"8, Rue Bourgneuf 42000 Saint-Étienne France",45.4459,4.38438
"31, Rue des Arizonas 30130 Pont-Saint-Esprit France",44.262,4.64423
"4, Allée Faidherbe 93320 Livry-Gargan France",48.9107,2.52063
"107, Avenue Michel Crépeau 17000 La Rochelle France",46.1491,-1.1583
"1, Rue d'Estienne d'Orves 56100 Lorient France",47.7327,-3.37427
"220, Avenue Victor Hugo 69140 Rillieux-la-Pape France",45.8197,4.89109
"12, Rue le Châtelier 75017 Paris France",48.8859,2.29588
"1, Rue Louis Vicat 81000 Albi France",43.931,2.18514
"18, Rue de l'Amiral Cecille 76100 Rouen France",49.4337,1.08268
"42, Rue Henri Becquerel 97122 Baie-Mahault ",16.2418,-61.5659
"3, Rue du 11 Novembre 38200 Vienne France",45.5201,4.86971
"55, Allée Cavalière 74120 Megève France",45.8597,6.61612
"14, Rue Henault 76130 Mont-Saint-Aignan France",49.4567,1.09227
"31, Avenue Jean Médecin 06000 Nice France",43.702,7.2669
"16, Rue de la République 69002 Lyon France",45.7644,4.83555
"100, Boulevard Sadi Carnot 06110 Le Cannet France",43.5673,7.01595
"2, Rue Marius et Ary Leblond   Réunion",-21.0094,55.2702
"6, Allée du Donjon 93160 Noisy-le-Grand France",48.8317,2.55525
"49, Rue de Maubeuge 75009 Paris France",48.8792,2.34717
"21, Boulevard de l'Épervière 49000 Écouflant France",47.5066,-0.504824
"72, Rue Saint-Pallais 17100 Saintes France",45.7451,-0.620015
"5, Place du Minage 17800 Pons France",45.5804,-0.547566
"21, Rue Pierre Loti 17200 Royan France",45.6265,-1.03113
"17, Rue Madame de Sévigné 08000 Charleville-Mézières France",49.7712,4.71742
"112, Avenue de la République 75011 Paris France",48.8632,2.38462
"106, Rue de Montreuil 94300 Vincennes France",48.8514,2.43481
"34, Rue de l'Amiral Mouchez 75013 Paris France",48.824,2.34139
"10, Rue Raymond Poincaré 54000 Nancy France",48.6909,6.17439
"50, Rue Chanzy 28000 Chartres France",48.439,1.48499
"10, Boulevard Malesherbes 75008 Paris France",48.8715,2.32284
"29, Rue Léon Gaumont 44700 Orvault France",47.2609,-1.64988
"16, Rue Jean XXIII 26400 Crest France",44.7304,5.02992
"8, Rue de Bezons 92400 Courbevoie France",48.8929,2.25328
"6, Avenue Victor Hugo 13160 Châteaurenard France",43.8828,4.85382
"9, Chemin des Dames 30200 Bagnols-sur-Cèze France",44.1603,4.62025
"16, Rue du Président Wilson 13200 Arles France",43.676,4.626
